"StimulusNo","ImageCode","Description","Valence","Arousal","Dominance1","Cluster","MembershipUncertainty","Under75thQuantile"
36,"9582.0","DentalExam",4.18,5.29,4.33,1,0.000175678,TRUE
37,"2900.1","CryingBoy",2.56,4.61,4.83,1,0.000193844,TRUE
38,"3211.0","Surgery",4.15,5.72,4.4,1,0.000209757,TRUE
39,"1080.0","Snake",4.24,5.69,4.33,1,0.000210358,TRUE
40,"1201.0","Spider",3.55,6.36,3.87,1,0.00024905,TRUE
41,"2661.0","Baby",3.9,5.76,4.48,1,0.000291946,TRUE
42,"3360.0","Fetus",3.78,5.39,4.18,1,0.000322038,TRUE
43,"7640.0","Skyscraper",5,6.03,3.82,1,0.000328586,TRUE
44,"9101.0","Cocaine",3.62,4.02,5.35,1,0.000341873,TRUE
45,"6190.0","Aimedgun",3.57,5.64,3.77,1,0.000344687,TRUE
46,"9290.0","Garbage",2.88,4.4,4.9,1,0.000349866,TRUE
47,"2722.0","Jail",3.47,3.52,5.34,1,0.00035068,TRUE
48,"3280.0","DentalExam",3.72,5.39,4.06,1,0.000402822,TRUE
49,"9390.0","Dishes",3.67,4.14,5.22,1,0.000424199,TRUE
50,"3310.0","Incubator",4.37,5.43,4.32,1,0.000450603,TRUE
51,"1270.0","Roach",3.68,4.77,5.25,1,0.000465498,TRUE
52,"9270.0","ToxicWaste",3.72,5.24,4.04,1,0.000512942,TRUE
53,"9930.0","ShipWave",3.12,5.71,2.97,1,0.000550431,TRUE
54,"6211.0","Attack",3.62,5.9,4.03,1,0.000552891,TRUE
55,"1275.0","Roaches",3.3,4.81,5.11,1,0.000697465,TRUE
56,"2115.0","PiercedFace",3.83,4.98,4.87,1,0.000842234,TRUE
57,"7023.0","Garbage",3.8,4.17,5.16,1,0.000868614,TRUE
58,"6010.0","Jail",3.73,3.95,5.08,1,0.000886771,TRUE
59,"9331.0","HomelessMan",2.87,3.85,4.72,1,0.000908444,TRUE
60,"1505.0","DogRace",4.13,4.73,4.49,1,0.000975163,TRUE
61,"1280.0","Rat",3.66,4.93,5.05,1,0.000982533,TRUE
62,"3210.0","Surgery",4.49,5.39,4.3,1,0.000999873,TRUE
63,"7360.0","FliesOnPie",3.59,5.11,5.21,1,0.001034584,TRUE
64,"9445.0","Skeleton",3.87,4.49,4.51,1,0.001040775,TRUE
65,"9594.0","Injection",3.76,5.17,4.43,1,0.00107692,TRUE
66,"1030.0","Snake",4.3,5.46,4.56,1,0.001082138,TRUE
67,"7521.0","Hospital",3.92,4.38,4.85,1,0.001090492,TRUE
68,"9630.0","Bomb",2.96,6.06,2.98,1,0.001128473,TRUE
69,"3250.0","OpenChest",3.78,6.29,4.45,1,0.001137449,TRUE
70,"7520.0","Hospital",3.83,4.57,4.42,1,0.001200123,TRUE
71,"9045.0","NativeFem",3.75,3.89,5.03,1,0.001259169,TRUE
72,"6314.0","Attack",4.09,4.6,4.58,1,0.001314456,TRUE
73,"8231.0","Boxer",3.77,5.24,4.68,1,0.001333691,TRUE
74,"6240.0","Gun",3.79,5.27,4.9,1,0.001354821,TRUE
75,"5920.0","Volcano",5.16,6.23,3.95,1,0.001373347,TRUE
76,"6550.0","Attack",2.73,7.09,3.01,1,0.001374375,TRUE
77,"9110.0","Puddle",3.76,3.98,4.88,1,0.001418885,TRUE
78,"4635.0","Prostitute",3.86,4.23,4.7,1,0.001501331,TRUE
79,"9490.0","Corpse",3.6,5.57,4.12,1,0.001687228,TRUE
80,"9005.0","HIVTattoo",3.69,5.18,4.3,1,0.001696588,TRUE
81,"2457.0","CryingBoy",3.2,4.94,5.02,1,0.001832471,TRUE
82,"2110.0","AngryFace",3.71,4.53,4.66,1,0.001846255,TRUE
83,"9265.0","HungMan",2.6,4.34,4.6,1,0.00184999,TRUE
84,"6930.0","Missiles",4.39,4.88,4,1,0.001920927,TRUE
85,"7079.0","Waste",3.81,4.47,4.19,1,0.001956767,TRUE
86,"7078.0","Bucket",3.79,3.69,5.41,1,0.001957495,TRUE
87,"6610.0","Gun",3.6,5.06,4.97,1,0.001961732,TRUE
88,"9440.0","Skulls",3.67,4.55,4.69,1,0.002060538,TRUE
89,"9291.0","Garbage",2.93,4.38,4.75,1,0.002078702,TRUE
90,"9182.0","Horses",3.52,4.98,4.97,1,0.002108092,TRUE
91,"2312.0","Mother",3.71,4.02,4.72,1,0.002218706,TRUE
92,"3190.0","Scar",3.69,5.01,4.53,1,0.002287322,TRUE
93,"1310.0","Leopard",4.6,6,4.37,1,0.002430068,TRUE
94,"9404.0","Soldiers",3.71,4.67,4.48,1,0.002490603,TRUE
95,"7092.0","Scale",4.05,4.38,4.99,1,0.002618894,TRUE
96,"9596.0","Injection",3.65,5.13,4.31,1,0.00268586,TRUE
97,"2130.0","Woman",4.08,5.02,5.1,1,0.002801185,TRUE
98,"7137.0","CarDamage",4.3,4.81,4.5,1,0.002962109,TRUE
99,"2039.0","Woman",3.65,3.46,5.06,1,0.003079544,TRUE
100,"9080.0","Wires",4.07,4.36,4.05,1,0.003146668,TRUE
101,"9150.0","Matador",4.54,5.31,4.48,1,0.003297683,TRUE
102,"9090.0","Exhaust",3.625,4.385,4.615,1,0.003561929,TRUE
103,"9623.0","Fire",3.04,6.05,3.26,1,0.003732393,TRUE
104,"1240.0","Spider",4.22,4.92,4.95,1,0.003733499,TRUE
105,"2490.0","Man",3.32,3.95,4.72,1,0.003744393,TRUE
106,"2752.0","Alcoholic",4.07,4.3,4.84,1,0.004029394,TRUE
107,"3300.0","DisabledChild",2.74,4.55,4.64,1,0.004110516,TRUE
108,"7560.0","Freeway",4.47,5.24,4.63,1,0.004241091,TRUE
109,"9010.0","BarbedWire",3.94,4.14,4.06,1,0.005028035,TRUE
110,"9373.0","Garbage",3.38,5.01,4.86,1,0.005087722,TRUE
111,"9190.0","Woman",3.9,3.91,4.89,1,0.005176091,TRUE
112,"9469.0","Building",4,4.08,4.92,1,0.005418208,TRUE
113,"2750.0","Bum",2.56,4.31,4.48,1,0.005540549,TRUE
114,"2682.0","Police",3.69,4.48,4.02,1,0.006096459,TRUE
115,"9621.0","Ship",3.22,5.76,3.55,1,0.006211105,TRUE
116,"9912.0","Firefighter",3.46,4.68,4.62,1,0.007127932,TRUE
117,"6837.0","Police",4.25,4.5,4.43,1,0.008462662,TRUE
118,"1390.0","Bees",4.5,5.29,4.75,1,0.008488281,TRUE
119,"1274.0","Roaches",3.17,5.39,5.03,1,0.009151602,TRUE
120,"6410.0","AimedGun",3.49,5.89,4.29,1,0.009606836,TRUE
121,"6370.0","Attack",2.7,6.44,3,1,0.00961449,TRUE
122,"9046.0","Family",3.32,4.31,4.61,1,0.009747758,TRUE
123,"2525.0","Women",4.06,3.93,5.32,1,0.010018769,TRUE
124,"6020.0","ElectricChair",3.41,5.58,4.07,1,0.010508013,TRUE
125,"8160.0","RockClimber",5.07,6.97,4.05,1,0.010735899,TRUE
126,"9102.0","Heroin",3.34,4.84,4.64,1,0.011061642,TRUE
127,"9031.0","Mud",3.01,4.82,4.68,1,0.01139119,TRUE
128,"7136.0","CarBoot",3.47,5.01,3.98,1,0.011782882,TRUE
129,"6840.0","Police",3.63,5.95,4.72,1,0.011969379,TRUE
130,"9402.0","Mob",4.48,5.07,4.85,1,0.012031436,TRUE
131,"9480.0","Skull",3.51,5.57,4.56,1,0.012066496,TRUE
132,"1111.0","Snakes",3.25,5.2,4.8,1,0.013249888,TRUE
133,"2692.0","Bomb",3.36,5.35,3.87,1,0.013331385,TRUE
134,"2520.0","ElderlyMan",4.13,4.22,4.44,1,0.013426721,TRUE
135,"6836.0","Police",3.46,5.47,4.39,1,0.013632626,TRUE
136,"9145.0","Cow",3.2,5.05,4.73,1,0.013682157,TRUE
137,"9561.0","SickKitty",2.68,4.79,4.53,1,0.015151018,TRUE
138,"1220.0","Spider",3.47,5.57,4.54,1,0.015751552,TRUE
139,"9160.0","Soldier",3.23,5.87,3.8,1,0.016283477,TRUE
140,"6241.0","Gun",3.42,4.54,4.44,1,0.017415509,TRUE
141,"6244.0","AimedGun",3.09,5.68,3.43,1,0.018226991,TRUE
142,"9622.0","Jet",3.1,6.26,3.66,1,0.018721334,TRUE
143,"2400.0","Woman",4.21,4.2,5.02,1,0.020061688,TRUE
144,"9186.0","Vultures",3.43,4.88,4.23,1,0.020969417,TRUE
145,"2120.0","AngryFace",3.34,5.18,4.52,1,0.022279821,TRUE
146,"6210.0","AimedGun",2.95,6.34,3.46,1,0.022906571,TRUE
147,"9120.0","OilFires",3.2,5.77,3.79,1,0.024106474,TRUE
148,"1230.0","Spider",4.35,4.44,5.09,1,0.025017169,TRUE
149,"6561.0","Attack",3.16,4.99,4.58,1,0.02592682,TRUE
150,"7497.0","Crowd",5.19,4.97,4.26,1,0.026778764,TRUE
151,"7013.0","Lightbulb",4.2,4.11,5.03,1,0.027752751,TRUE
152,"2753.0","Alcoholic",3.17,4.29,4.48,1,0.028033484,TRUE
153,"1202.0","Spider",3.35,5.94,4.23,1,0.028950371,TRUE
154,"9592.0","Injection",3.34,5.23,4.14,1,0.029126308,TRUE
155,"2810.0","Boy",4.31,4.47,5.69,1,0.030673603,TRUE
156,"6200.0","AimedGun",2.955,6.015,3.42,1,0.030891088,TRUE
157,"3181.0","BatteredFem",2.3,5.06,4.31,1,0.031336986,TRUE
158,"2276.0","Girl",2.67,4.63,4.4,1,0.033479956,TRUE
159,"2280.0","Boy",4.22,3.77,5.7,1,0.035573662,TRUE
160,"2271.0","Woman",4.2,3.74,5.66,1,0.036905575,TRUE
161,"2700.0","Woman",3.19,4.77,4.44,1,0.037155089,TRUE
162,"9941.0","Fire",2.91,5.83,3.28,1,0.037244935,TRUE
163,"9411.0","Boy",4.63,5.37,4.91,1,0.039268336,TRUE
164,"9584.0","DentalExam",3.34,4.96,3.94,1,0.039703194,TRUE
165,"9180.0","Seal",2.99,5.02,4.52,1,0.042593433,TRUE
166,"4621.0","Harassment",3.19,4.92,4.37,1,0.050815586,TRUE
167,"7135.0","CarDamage",3.17,5.36,3.76,1,0.057252238,TRUE
168,"9041.0","ScaredChild",2.98,4.64,4.38,1,0.062953565,TRUE
169,"9002.0","Memorial",3.39,4.55,4.03,1,0.063709879,TRUE
170,"9571.0","Cat",1.96,5.64,4.17,1,0.064219121,TRUE
171,"7290.0","Fish",4.37,3.87,5.85,1,0.068605213,TRUE
172,"7632.0","Airplane",5.22,4.78,4.4,1,0.068718937,TRUE
173,"7361.0","MeatSlicer",3.1,5.09,4.38,1,0.069362857,TRUE
174,"9468.0","Grafitti",4.67,4.68,4.58,1,0.071646974,TRUE
175,"1271.0","Roaches",3.19,5.37,4.2,1,0.072581562,TRUE
176,"4664.2","Attack",2.79,6.13,3.33,1,0.074179348,TRUE
177,"9330.0","Garbage",2.89,4.35,4.33,1,0.078455165,TRUE
178,"6220.0","BoysW/Guns",3.1,5.89,3.92,1,0.082156334,TRUE
179,"9452.0","Gun",3.19,5.14,4.09,1,0.082671171,TRUE
180,"9599.0","Injection",3.16,5.43,4.22,1,0.085310582,TRUE
181,"2206.0","Fingerprint",4.06,3.71,4.46,1,0.096223237,TRUE
182,"2458.0","CryingBaby",4.69,5.28,5.06,1,0.096418317,TRUE
183,"2590.0","ElderlyWoman",3.26,3.93,4.31,1,0.106269288,TRUE
184,"9340.0","Garbage",2.41,5.16,4.24,1,0.107810356,FALSE
185,"8010.0","Runner",4.38,4.12,5.17,1,0.107843877,FALSE
186,"1303.0","Dog",4.68,5.7,4.98,1,0.120602864,FALSE
187,"9042.0","StickThruLip",3.15,5.78,4.37,1,0.121022137,FALSE
188,"9530.0","Boys",2.93,5.2,4.32,1,0.128496804,FALSE
189,"9590.0","Injecting",3.08,5.41,4,1,0.129714804,FALSE
190,"1645.0","Wolf",4.99,5.14,4.74,1,0.133315143,FALSE
191,"9620.0","Shipwreck",2.7,6.11,3.29,1,0.13506281,FALSE
192,"6213.0","Terrorist",2.91,5.86,3.62,1,0.138437588,FALSE
193,"9470.0","Ruins",3.05,5.05,4.11,1,0.157849737,FALSE
194,"1945.0","Turtle",4.59,4.42,5.57,1,0.159598979,FALSE
195,"9007.0","Needles",2.49,5.03,4.18,1,0.161165418,FALSE
196,"3180.0","BatteredFem",1.92,5.77,4.05,1,0.162974127,FALSE
197,"9415.0","Handicapped",2.82,4.91,4.22,1,0.16888363,FALSE
198,"9422.0","Battleship",4.95,5.09,4.89,1,0.187958712,FALSE
199,"9417.0","Ticket",3.16,4.83,3.7,1,0.193537143,FALSE
200,"2691.0","Riot",3.04,5.85,4.39,1,0.207114967,FALSE
201,"9043.0","Teeth",2.52,5.5,4.29,1,0.208284272,FALSE
202,"1112.0","Snake",4.71,4.6,5.27,1,0.221319669,FALSE
203,"7380.0","RoachOnPizza",2.46,5.88,4.49,1,0.227983706,FALSE
204,"6830.0","Guns",2.82,6.21,3.67,1,0.228454579,FALSE
205,"2456.0","CryingFamily",2.84,4.55,4.15,1,0.230425585,FALSE
206,"3185.0","Stitches",2.81,5.48,4.24,1,0.246199628,FALSE
207,"3301.0","InjuredChild",1.8,5.21,3.71,1,0.247698942,FALSE
208,"6571.0","CarTheft",2.85,5.59,3.56,1,0.249991211,FALSE
209,"2301.0","KidCry",2.78,4.57,4.13,1,0.25147833,FALSE
210,"8230.0","Boxer",2.95,5.91,4.05,1,0.25806378,FALSE
211,"6834.0","Police",2.91,6.28,3.9,1,0.277087397,FALSE
212,"2230.0","SadFace",4.53,4.13,4.8,1,0.281838451,FALSE
213,"9430.0","Burial",2.63,5.26,4.14,1,0.284774204,FALSE
214,"1820.0","Crocodile",5.35,5.67,4.66,1,0.285596512,FALSE
215,"9181.0","DeadCows",2.26,5.39,4.04,1,0.290502023,FALSE
216,"9909.0","BurningCar",2.78,5.98,3.67,1,0.306723583,FALSE
217,"3213.0","Surgery",2.96,6.82,3.92,1,0.31975866,FALSE
218,"1908.0","Jellyfish",5.28,4.88,4.75,1,0.331013362,FALSE
219,"9280.0","Smoke",2.8,4.26,4.1,1,0.338189577,FALSE
220,"9610.0","Accident",2.89,5.23,3.82,1,0.34434321,FALSE
221,"9491.0","DeadBody",2.78,5.69,3.64,1,0.347112818,FALSE
222,"3160.0","EyeDisease",2.63,5.35,4.08,1,0.358525316,FALSE
223,"4233.0","Prostitute",4.56,3.96,5.61,1,0.362733389,FALSE
224,"2751.0","DrunkDriving",2.67,5.18,4.01,1,0.391091632,FALSE
225,"6540.0","Attack",2.19,6.83,3.02,1,0.399386013,FALSE
226,"3019.0","Organs",2.99,6.3,4.25,1,0.416946988,FALSE
227,"9321.0","Vomit",2.81,6.24,3.9,1,0.421449916,FALSE
228,"4230.0","Prostitute",4.86,4.7,5.38,1,0.424026599,FALSE
229,"8121.0","Athlete",4.63,4.14,5.3,1,0.428737309,FALSE
230,"9520.0","Kids",2.46,5.41,4.01,1,0.42970857,FALSE
231,"2410.0","Boy",4.62,4.13,5,1,0.429775026,FALSE
232,"2345.1","BlackEye",2.26,5.5,3.96,1,0.433024973,FALSE
233,"9611.0","PlaneCrash",2.71,5.75,3.67,1,0.439357647,FALSE
234,"9050.0","PlaneCrash",2.43,6.36,3.27,1,0.443778946,FALSE
235,"9905.0","CarAccident",2.55,5.93,3.33,1,0.448759768,FALSE
236,"9920.0","CarAccident",2.5,5.76,3.09,1,0.454450219,FALSE
237,"2141.0","GrievingFem",2.44,5,3.92,1,0.469382764,FALSE
238,"6831.0","Police",2.59,5.55,3.99,1,0.477779854,FALSE
239,"9253.0","Mutilation",2,5.53,3.77,1,0.48506186,FALSE
240,"9140.0","Cow",2.19,5.38,3.85,1,0.490471023,FALSE
241,"9922.0","Fire",2.78,5.21,3.72,1,0.49787033,FALSE
242,"4631.0","BikerCouple",5.36,5.19,4.87,1,0.50370197,FALSE
243,"7920.0","CarCrash",4.51,3.87,5.2,1,0.511416833,FALSE
244,"9401.0","Knives",4.53,3.88,5.29,1,0.517298278,FALSE
1,"5301.0","Galaxy",6.54,5.21,4.06,2,0.001073592,TRUE
2,"1650.0","Jaguar",6.65,6.23,4.29,2,0.002234877,TRUE
3,"2050.0","Baby",8.2,4.57,7.71,2,0.002993239,TRUE
4,"1810.0","Hippo",6.52,4.45,4.55,2,0.003845426,TRUE
5,"1720.0","Lion",6.79,5.32,4.63,2,0.005560607,TRUE
6,"5991.0","Sky",6.55,4.01,4.78,2,0.009872293,TRUE
7,"5760.0","Nature",8.05,3.22,7.49,2,0.010131601,TRUE
8,"5990.0","Sky",6.54,4.44,4.7,2,0.010612086,TRUE
9,"8400.0","Rafters",7.09,6.61,4.63,2,0.013742259,TRUE
10,"2260.0","NeutBaby",8.06,4.26,7.47,2,0.014347158,TRUE
11,"5870.0","Clouds",6.78,3.1,5.2,2,0.02831353,TRUE
12,"8492.0","Rollercoaster",7.21,7.31,4.63,2,0.034153044,TRUE
13,"5470.0","Astronaut",7.35,6.02,4.96,2,0.034431135,TRUE
14,"2040.0","Baby",8.17,4.64,7.33,2,0.035854044,TRUE
15,"5950.0","Lightning",5.99,6.79,3.56,2,0.059391116,TRUE
16,"5010.0","Flower",7.14,3,7.4,2,0.090149432,TRUE
17,"4700.0","Couple",6.91,4.05,5.35,2,0.126319909,TRUE
18,"2360.0","Family",7.7,3.66,6.92,2,0.152611628,TRUE
19,"8180.0","CliffDivers",7.12,6.59,4.97,2,0.172624173,TRUE
20,"1721.0","Lion",7.3,4.53,5.57,2,0.180106051,TRUE
21,"5220.0","Nature",7.01,3.91,5.53,2,0.187465973,TRUE
22,"2530.0","Couple",7.8,3.99,5.99,2,0.188125183,TRUE
23,"7492.0","Ferry",7.41,4.91,5.55,2,0.191300249,TRUE
24,"2540.0","Mother",7.63,3.97,5.96,2,0.204061991,TRUE
25,"2510.0","ElderlyWoman",6.91,4,5.46,2,0.207513669,TRUE
26,"2501.0","Couple",6.89,3.09,5.63,2,0.208165135,TRUE
27,"1610.0","Rabbit",7.755,3.53,6.645,2,0.209582522,TRUE
28,"5910.0","Fireworks",7.8,5.59,5.56,2,0.230106902,TRUE
29,"5780.0","Nature",7.52,3.75,6.05,2,0.241508238,TRUE
30,"5779.0","Courtyard",7.33,3.57,6.96,2,0.26184323,TRUE
31,"1750.0","Bunnies",8.28,4.1,6.15,2,0.26563416,TRUE
32,"2650.0","Boy",7.27,4.28,5.74,2,0.272959888,TRUE
33,"2057.0","Father",7.81,4.54,6.76,2,0.274129359,TRUE
34,"4610.0","Romance",7.29,5.1,5.54,2,0.282564743,TRUE
35,"2035.0","Kid",7.52,3.69,6.2,2,0.284868598,TRUE
36,"5000.0","Flower",7.08,2.67,7.08,2,0.285318025,TRUE
37,"1590.0","Horse",7.21,4.77,5.58,2,0.2864767,TRUE
38,"5200.0","Flowers",7.36,3.2,6.21,2,0.287443329,TRUE
39,"1920.0","Porpoise",7.9,4.27,6.5,2,0.294102492,TRUE
40,"2091.0","Girls",7.68,4.51,6.79,2,0.294154118,TRUE
41,"1440.0","Seal",8.19,4.61,6.05,2,0.300186824,TRUE
42,"1620.0","Antelope",7.37,3.54,6.82,2,0.301887261,TRUE
43,"2314.0","Binoculars",7.55,4,6.17,2,0.315425303,TRUE
44,"5210.0","Seaside",8.03,4.6,6.19,2,0.327273511,TRUE
45,"8090.0","Gymnast",7.02,5.71,5.25,2,0.328009533,TRUE
46,"2370.0","ThreeMen",7.14,2.9,6.12,2,0.342472953,TRUE
47,"2165.0","Father",7.63,4.55,6.72,2,0.350898665,TRUE
48,"2660.0","Baby",7.75,4.44,6.44,2,0.358158048,TRUE
49,"2170.0","Mother",7.55,4.08,6.49,2,0.368151907,TRUE
50,"5829.0","Sunset",7.65,4.68,6.06,2,0.372544397,TRUE
51,"2058.0","Baby",7.91,5.09,6.67,2,0.37744521,TRUE
52,"4628.0","Wedding",7.23,5.19,5.57,2,0.37892916,TRUE
53,"4612.0","Couple",6.82,5.06,5.3,2,0.379152468,TRUE
54,"2151.0","Father/Child",7.32,4.37,5.9,2,0.381035061,FALSE
55,"2340.0","Family",8.03,4.9,6.18,2,0.383600406,FALSE
56,"2550.0","Couple",7.77,4.68,6.22,2,0.384171387,FALSE
57,"8370.0","Rafting",7.77,6.73,5.37,2,0.386594005,FALSE
58,"1500.0","Dog",7.24,4.12,6.97,2,0.387114352,FALSE
59,"5831.0","Seagulls",7.63,4.43,6.46,2,0.397194134,FALSE
60,"2311.0","Mother",7.54,4.42,6.16,2,0.399375697,FALSE
61,"1600.0","Horse",7.37,4.05,6.75,2,0.401792466,FALSE
62,"7570.0","Skyline",6.97,5.54,5.33,2,0.429363638,FALSE
63,"2274.0","Kids",7.47,4.22,6.35,2,0.435269515,FALSE
64,"2156.0","Family",7.12,4.34,5.82,2,0.466553964,FALSE
65,"2341.0","Children",7.38,4.11,6.44,2,0.473667228,FALSE
66,"8540.0","Athletes",7.48,5.16,5.88,2,0.475793366,FALSE
67,"5202.0","Garden",7.25,3.73,6.31,2,0.480331867,FALSE
68,"5480.0","Fireworks",7.53,5.48,5.8,2,0.484569434,FALSE
69,"2304.0","Girl",7.22,3.63,6.35,2,0.492653256,FALSE
70,"1710.0","Puppies",8.34,5.41,6.55,2,0.493046159,FALSE
71,"1811.0","Monkeys",7.62,5.12,6.07,2,0.495840811,FALSE
1,"9220.0","Cemetery",2.06,4,3.13,3,0.001106416,TRUE
2,"9000.0","Cemetery",2.55,4.06,3.25,3,0.002905535,TRUE
3,"9001.0","Cemetery",3.1,3.67,3.47,3,0.010288332,TRUE
4,"2205.0","Hospital",1.95,4.53,3.22,3,0.017999846,TRUE
5,"3230.0","DyingMan",2.02,5.41,2.93,3,0.05138815,TRUE
6,"9421.0","Soldier",2.21,5.04,3.32,3,0.067532115,TRUE
7,"3030.0","Mutilation",1.91,6.76,3.69,3,0.071314243,TRUE
8,"3130.0","Mutilation",1.58,6.97,3.46,3,0.07249136,TRUE
9,"2730.0","NativeBoy",2.45,6.8,3.94,3,0.077951334,TRUE
10,"9810.0","KKKrally",2.09,6.62,3.95,3,0.094333693,TRUE
11,"3071.0","Mutilation",1.88,6.86,3.28,3,0.10193917,TRUE
12,"3120.0","DeadBody",1.56,6.84,3.32,3,0.104260703,TRUE
13,"3400.0","SeveredHand",2.35,6.91,3.65,3,0.111773504,TRUE
14,"9921.0","Fire",2.04,6.52,3.57,3,0.118612592,TRUE
15,"9040.0","StarvingChild",1.67,5.82,3.1,3,0.134295473,TRUE
16,"9187.0","InjuredDog",1.81,6.45,3.17,3,0.144685577,TRUE
17,"9325.0","Vomit",1.89,6.01,3.22,3,0.145520889,TRUE
18,"3140.0","DeadBody",1.83,6.36,3.2,3,0.14598058,TRUE
19,"3195.0","Stitches",2.06,6.36,3.55,3,0.147774236,TRUE
20,"3100.0","BurnVictim",1.6,6.49,3,3,0.154825601,TRUE
21,"2352.2","BloodyKiss",2.09,6.25,3.45,3,0.168181943,TRUE
22,"3110.0","BurnVictim",1.79,6.7,3.04,3,0.168913902,TRUE
23,"9183.0","HurtDog",1.69,6.58,2.96,3,0.169141937,TRUE
24,"3103.0","Injury",2.07,6.06,3.37,3,0.17279913,TRUE
25,"9405.0","SlicedHand",1.83,6.08,3.4,3,0.186797657,TRUE
26,"6360.0","Attack",2.23,6.33,3.97,3,0.187216009,TRUE
27,"3350.0","Infant",1.88,5.72,3.38,3,0.187795359,TRUE
28,"6212.0","Soldier",2.19,6.01,3.45,3,0.200877158,TRUE
29,"9412.0","DeadMan",1.83,6.72,3,3,0.203116434,TRUE
30,"3060.0","Mutilation",1.79,7.12,2.97,3,0.203646087,TRUE
31,"9420.0","Soldier",2.31,5.69,3.27,3,0.212646319,TRUE
32,"6563.0","Attack",1.77,6.85,2.93,3,0.222131706,TRUE
33,"9570.0","Dog",1.68,6.14,3.37,3,0.22377472,TRUE
34,"6312.0","Abduction",2.48,6.37,3.83,3,0.228992218,TRUE
35,"2053.0","Baby",2.47,5.25,3.56,3,0.229345381,TRUE
36,"2900.0","CryingBoy",2.45,5.09,3.64,3,0.233753986,TRUE
37,"9911.0","CarAccident",2.3,5.76,3.54,3,0.235740316,TRUE
38,"9006.0","HIVTattoo",2.34,5.76,3.33,3,0.246161599,TRUE
39,"3150.0","Mutilation",2.26,6.55,3.39,3,0.246818746,TRUE
40,"3168.0","Mutilation",1.56,6,3.24,3,0.247610088,TRUE
41,"9910.0","CarAccident",2.06,6.2,3.02,3,0.249894348,TRUE
42,"9332.0","CryingWoman",2.25,5.34,3.63,3,0.253395258,TRUE
43,"2800.0","SadChild",1.78,5.49,3.4,3,0.25592123,TRUE
44,"6570.0","Suicide",2.19,6.24,4.03,3,0.260318122,TRUE
45,"9414.0","Execution",2.06,6.49,3.11,3,0.261128456,TRUE
46,"9560.0","DuckInOil",2.12,5.5,3.62,3,0.273714935,TRUE
47,"3550.1","PlaneCrash",2.35,6.29,3.47,3,0.283858117,TRUE
48,"3220.0","Hospital",2.49,5.52,3.53,3,0.293524114,TRUE
49,"9250.0","WarVictim",2.57,6.6,3.73,3,0.300509285,TRUE
50,"3212.0","Surgery",2.79,6.57,4.07,3,0.304435776,TRUE
